point_id,x,y,radius,combat_allowed,note
p01,3,21,1,true,
p02,3,20,1,true,
p03,6,20,1,true,
p04,6,18,1,true,
p05,4,18,1,true,
p06,4,20,1,true,
p07,6,20,1,true,
p08,6,18,1,true,
p09,10,18,1,true,
p10,10,21,1,true,
p11,12,21,1,true,
p12,12,15,1,true,
p13,8,15,1,true,
p14,8,13,1,true,
p15,10,13,1,true,
p16,10,15,1,true,
p17,8,15,1,true,
p18,8,13,1,true,
p19,10,13,1,true,
p20,10,10,1,true,
p21,16,10,1,true,
p22,16,6,1,true,
p23,16,10,1,true,
p24,14,10,1,true,
p25,14,8,1,true,
p26,16,8,1,true,
p27,16,10,1,true,
p28,10,10,1,true,
p29,10,15,1,true,
